timeOpen,close,marketCap
2021-08-14,2.99117714,10830816.86
2021-08-13,3.0261936,10956825.35
2021-08-12,2.85072576,10320730.19
2021-08-11,2.94507627,10661635.98
2021-08-10,2.97313148,10762439.69
2021-08-09,3.02447349,10947524.99
2021-08-08,2.6794091,9697828.58
2021-08-07,2.75529911,9971810.06
2021-08-06,2.59567814,9393450.63
2021-08-05,2.45729915,8892043.68
2021-08-04,2.36726924,8565651.12
2021-08-03,2.25115644,8144936.31
2021-08-02,2.3144421,8373326.75
2021-08-01,2.33330095,8440954.71
2021-07-31,2.3872156,8635388.24
2021-07-30,2.39376567,8658467.91
2021-07-29,2.30150823,8324177.14
2021-07-28,2.28185842,8252525.29
2021-07-27,2.26244206,8181676.82
2021-07-26,2.1877691,7911127.05
2021-07-25,2.1123999,7638043.72
2021-07-24,2.06963458,7482884.87
2021-07-23,2.04722026,7401321.68
2021-07-22,2.04322827,7386358.88
2021-07-21,2.0188151,7297593.57
2021-07-20,1.87376757,6772789.87
2021-07-19,1.93039295,6976971.92
2021-07-18,2.00594066,7249494.82
2021-07-17,1.97300141,7129942.63
2021-07-16,1.96249023,7091453.22
2021-07-15,1.96796439,7110732.54
2021-07-14,2.05275639,7416575.52
2021-07-13,2.03014395,7334351.55
2021-07-12,2.10136046,7591089.31
2021-07-11,2.19087417,7913891.79
2021-07-10,2.13395742,7707743.87
2021-07-09,2.15913418,7798120.42
2021-07-08,2.11554324,7640139.91
2021-07-07,2.18761428,7899841.73
2021-07-06,2.20166545,7950013.59
2021-07-05,2.16939035,7832900.87
2021-07-04,2.24912159,8120197.97
2021-07-03,2.21517784,7997072.97
2021-07-02,2.09528448,7563698.54
2021-07-01,2.05445367,7415765.7
2021-06-30,2.17106277,7836115.56
2021-06-29,2.20193445,7946963.51
2021-06-28,2.12885711,7682660.67
2021-06-27,2.13742973,7713033.45
2021-06-26,1.98885934,7176386.05
2021-06-25,1.94340204,7011855.49
2021-06-24,2.12945844,7682596.5
2021-06-23,2.11403822,7626261.78
2021-06-22,2.03574897,7343430.02
2021-06-21,2.12260168,7656173.49
2021-06-20,2.40507395,8674409.06
2021-06-19,2.3947755,8636626.63
2021-06-18,2.41949391,8725123.24
2021-06-17,2.55148541,9200432.63
2021-06-16,2.58314523,9313907.68
2021-06-15,2.69966747,9732976.58
2021-06-14,2.70737802,9759879.79
2021-06-13,2.62575013,9465444.05
2021-06-12,2.47021811,8904115.66
2021-06-11,2.55396363,9205303.6
2021-06-10,2.58856749,9329339.45
2021-06-09,2.66694131,9611099.65
2021-06-08,2.42306725,8731589.01
2021-06-07,2.46094772,8867442.38
2021-06-06,2.56555568,9243691.07
2021-06-05,2.56480345,9240298.05
2021-06-04,2.6442171,9525709.8
2021-06-03,2.79121123,10054507.47
2021-06-02,2.68022994,9654033.54
